SKU,Main Category Name,Sub Category Name,Item Name,Color Code,Size,Stock,Wholesale Value,Market Value,Retail Value,Desc,Weight(lb),Img Url
U1EELE1175PNKGB,Jewelry,Necklace Sets,Geo Wood Fashion Earrings,Pink,2 1/4 inch long,5,4.5,16.5,16.99,No Response,0.1,https://cdn.jropship.com/l/U1EELE1175PNKGB.jpg
C9SNBY7310RedGD,Jewelry,Necklace Sets,Crystal Statement V-Shape Bib Necklace  Set,Red,18 inch + 3,5,24.5,76.5,76.99,Crystal Statement V-Shape Bib Necklace  Set in Necklace SetsRed,0.5,https://cdn.jropship.com/l/C9SNBY7310RedGD.jpg
G4EGE2076AGRNGD,Jewelry,Necklace Sets,Crystal Statement Flower Clip-On Earrings,AB Green,3 1/2 inch long,5,8.25,27.75,27.99,Crystal Statement Flower Clip-On Earrings in EarringsAB Green,0.5,https://cdn.jropship.com/l/G4EGE2076AGRNGD.jpg
C9SNPY043MRBLURD,Jewelry,Necklace Sets,Multi-Strand LayeRed Pearl a Set,Blue,17 inch + 3,4,6.75,23.25,22.99,No Response,0.5,https://cdn.jropship.com/l/C9SNPY043MRBLURD.jpg
G4SGNE2062APURGD,Jewelry,Necklace Sets,Crystal Statement Bib Necklace  Set,purple,13 inch + 4,4,18,57,56.99,Crystal Statement Bib Necklace  Set in Necklace Setspurple,0.5,https://cdn.jropship.com/l/G4SGNE2062APURGD.jpg
E5EESE3263BLKHM,Jewelry,Necklace Sets,Crystal Statement Drop Earrings,Black,4 inch long,4,9,30,29.99,Crystal Statement Drop Earrings in EarringsBlack,0.5,https://cdn.jropship.com/l/E5EESE3263BLKHM.jpg
C9SNBY7851ABOGD,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace  Set,Aurora Borealis,16 inch + 3,4,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace  Set in Necklace SetsAurora Borealis,0.5,https://cdn.jropship.com/l/C9SNBY7851ABOGD.jpg
M6E1404MLTGD,Jewelry,Necklace Sets,Statement Crystal Pineapple Clip-on Earrings,Multi,2 1/4 inch long,4,6.75,23.25,22.99,No Response,0.1,https://cdn.jropship.com/l/M6E1404MLTGD.jpg
B5S014178LCTGD,Jewelry,Necklace Sets,Statement Crystal Bib Necklace  Set,Light Colorado Topaz,16 inch + 3,4,22.5,70.5,70.99,No Response,0.5,https://cdn.jropship.com/l/B5S014178LCTGD.jpg
B5S014178PURRD,Jewelry,Necklace Sets,Statement Crystal Bib Necklace  Set,purple,16 inch + 3,4,22.5,70.5,70.99,No Response,0.5,https://cdn.jropship.com/l/B5S014178PURRD.jpg
B5S014178MLTRD,Jewelry,Necklace Sets,Statement Crystal Bib Necklace  Set,Multi,16 inch + 3,4,22.5,70.5,70.99,No Response,0.5,https://cdn.jropship.com/l/B5S014178MLTRD.jpg
B5S014178ABOGD,Jewelry,Necklace Sets,Statement Crystal Bib Necklace  Set,Aurora Borealis,16 inch + 3,4,22.5,70.5,70.99,No Response,0.5,https://cdn.jropship.com/l/B5S014178ABOGD.jpg
C9EECY8960ABOGD,Jewelry,Necklace Sets,Karolina Jasko Crystal Earrings,Aurora Borealis,3 3/4 inch long,4,9.75,32.25,31.99,No Response,0.1,https://cdn.jropship.com/l/C9EECY8960ABOGD.jpg
C9EECY8960PCHGD,Jewelry,Necklace Sets,Karolina Jasko Crystal Earrings,Peach,3 3/4 inch long,4,9.75,32.25,31.99,No Response,0.1,https://cdn.jropship.com/l/C9EECY8960PCHGD.jpg
U1EFER350ORGGB,Jewelry,Necklace Sets,Glass Beadede Fringe Fashion Earrings,Orange,4 1/2 inch long,4,4.5,16.5,16.99,Glass Beadede Fringe Fashion Earrings in EarringsOrange,0.5,https://cdn.jropship.com/l/U1EFER350ORGGB.jpg
C7SQNE10551LMTGD,Jewelry,Necklace Sets,Multi-Strand LayeRed Pearl Necklace  Set,Light Multi,17 inch + 3,3,6.75,23.25,22.99,No Response,0.5,https://cdn.jropship.com/l/C7SQNE10551LMTGD.jpg
G4SGNE2062AGRNGD,Jewelry,Necklace Sets,Crystal Statement Bib Necklace  Set,Green,13 inch + 4,3,18,57,56.99,No Response,0.5,https://cdn.jropship.com/l/G4SGNE2062AGRNGD.jpg
C7SQNE1055ORGGD,Jewelry,Necklace Sets,DST Wide Shoulder to Shoulder Pearl Bib Necklace ,Orange,14 inch + 3,3,20.5,64.5,64.99,DST Wide Shoulder to Shoulder Pearl Bib Necklace  in Necklace SetsOrange,1,https://cdn.jropship.com/l/C7SQNE1055ORGGD.jpg
C9SNBY7851CLRRD,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace  Set,Clear,16 inch + 3,3,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace  Set in Necklace SetsClear,0.5,https://cdn.jropship.com/l/C9SNBY7851CLRRD.jpg
C9EECQ36PURRD,Jewelry,Necklace Sets,Pageant Crystal Clip-on Earrings,purple,3 1/4 inch long,3,5,18,17.99,No Response,0.1,https://cdn.jropship.com/l/C9EECQ36PURRD.jpg
C9EECY8960BLKGD,Jewelry,Necklace Sets,Karolina Jasko Crystal Earrings,Black,3 3/4 inch long,3,9.75,32.25,31.99,No Response,0.1,https://cdn.jropship.com/l/C9EECY8960BLKGD.jpg
